SG,Wt_total,Total_pts,CTGL_1,CTGL_2,Essay,BB_exam_us,BB_exam_ims,student_key,Combined_Scores
01C,95.38322,374.3405,92.394,90.9975,98.949,92.0,,1,92.0
01A,93.45,375.0,93.0,90.0,92.0,100.0,,2,100.0
01A,92.15,370.0,93.0,90.0,91.0,96.0,,3,96.0
01D,92.01205,366.29008,87.0,91.09425,92.19583,,96.0,4,96.0
01C,94.30665,375.58875,90.9975,90.396,94.19525,100.0,,5,100.0
01B,94.3,383.0,96.0,96.0,91.0,100.0,,6,100.0
01D,83.64869,339.99564,94.0,90.9975,82.99814,72.0,,7,72.0
01C,94.33679,376.99358,97.5,96.1,95.39358,88.0,,8,88.0
01B,90.5,364.0,92.0,94.0,90.0,88.0,,9,88.0
01C,88.30707,364.691,92.9975,93.398,82.2955,,96.0,10,96.0
01D,92.11666,373.58843,91.49625,93.29675,88.79543,100.0,,11,100.0
01C,98.1047,389.698,94.0,96.698,99.0,100.0,,12,100.0
01A,97.05,384.0,96.0,93.0,99.0,96.0,,13,96.0
01B,97.05,383.0,96.0,95.0,100.0,92.0,,14,92.0
01B,92.1,372.0,93.0,93.0,90.0,96.0,,15,96.0
01D,90.36192,368.23854,91.49625,94.09617,86.64612,96.0,,16,96.0
01B,96.9,382.0,94.0,96.0,100.0,92.0,,17,92.0
01C,91.08902,358.9935,90.097,90.4965,94.4,84.0,,18,84.0
01A,96.1,380.0,93.0,93.0,98.0,96.0,,19,96.0
01B,89.15,362.0,93.0,94.0,87.0,88.0,,20,88.0
01B,92.15,368.0,93.0,94.0,93.0,88.0,,21,88.0
01A,97.4,385.0,93.0,93.0,99.0,100.0,,22,100.0
01C,96.234,383.748,96.1,98.3,97.348,92.0,,23,92.0
01D,93.14175,375.33925,93.3985,94.39542,91.54533,96.0,,24,96.0
01A,93.95,373.0,93.0,96.0,96.0,88.0,,25,88.0
01D,94.00248,375.58792,93.39567,92.29425,93.898,96.0,,26,96.0
01A,91.1,370.0,93.0,93.0,88.0,96.0,,27,96.0
01B,94.95,377.0,92.0,93.0,96.0,96.0,,28,96.0
01D,94.04227,379.2435,95.5,95.2985,92.445,96.0,,29,96.0
01B,86.75,351.0,92.0,93.0,86.0,,80.0,30,80.0
01A,94.1,376.0,93.0,93.0,94.0,96.0,,31,96.0
01C,88.7851,349.58134,90.09317,90.49417,92.994,76.0,,32,76.0
01C,96.37192,388.88708,98.497,95.99333,94.39675,,100.0,33,100.0
01C,93.23211,368.28384,90.49417,90.391,95.39867,92.0,,34,92.0
01C,91.77183,366.23434,94.99667,93.99,93.24767,84.0,,35,84.0
01A,96.55,383.0,96.0,93.0,98.0,96.0,,36,96.0
01B,95.2,382.0,92.0,96.0,94.0,100.0,,37,100.0
01A,90.15,363.0,93.0,96.0,90.0,,84.0,38,84.0
01D,94.00038,377.68424,93.996,94.69467,92.99357,96.0,,39,96.0
01A,91.4,361.0,93.0,93.0,95.0,80.0,,40,80.0
01C,91.03647,361.687,92.5965,91.995,93.0955,84.0,,41,84.0
01B,93.65,372.0,92.0,93.0,95.0,92.0,,42,92.0
01B,88.9,356.0,93.0,93.0,90.0,80.0,,43,80.0
01C,97.0533,387.291,95.99333,97.69867,97.599,96.0,,44,96.0
01D,98.04941,386.99608,93.3985,93.59758,100.0,100.0,,45,100.0
01D,92.59722,377.19142,96.49567,95.5,89.19575,96.0,,46,96.0
01A,91.5,363.0,96.0,96.0,95.0,,76.0,47,76.0
01B,97.05,384.0,94.0,95.0,99.0,,96.0,48,96.0
01A,94.1,376.0,93.0,93.0,94.0,96.0,,49,96.0
01A,96.9,384.0,93.0,93.0,98.0,100.0,,50,100.0
01D,87.96409,356.4969,89.79867,89.2995,85.39873,,92.0,51,92.0
01D,94.50756,377.39408,93.3985,90.0,93.99558,100.0,,52,100.0
01D,95.70814,382.64162,96.096,94.79733,95.74829,96.0,,53,96.0
01B,91.15,367.0,93.0,92.0,90.0,92.0,,54,92.0
01C,94.4136,373.19067,90.9975,90.09317,96.1,96.0,,55,96.0
01B,94.6,377.0,92.0,94.0,95.0,96.0,,56,96.0
01D,91.07597,370.0895,93.3985,92.798,87.893,96.0,,57,96.0
01A,95.4,381.0,93.0,93.0,95.0,100.0,,58,100.0
01C,90.27604,359.18858,91.2,91.995,91.99358,84.0,,59,84.0
02A,94.38734,374.28933,93.599,95.99333,96.697,88.0,,60,88.0
02C,87.1,343.0,88.0,88.0,91.0,76.0,,61,76.0
02C,89.1,356.0,90.0,92.0,90.0,84.0,,62,84.0
02B,86.4,351.0,92.0,94.0,85.0,80.0,,63,80.0
02A,94.05563,378.33333,95.99333,96.89533,93.44467,92.0,,64,92.0
02D,93.22283,367.04567,92.0,94.0,97.04567,84.0,,65,84.0
02A,94.83653,384.14167,94.0,98.098,92.04367,100.0,,66,100.0
02B,91.95,371.0,95.0,90.0,90.0,96.0,,67,96.0
02B,89.5,352.0,92.0,90.0,94.0,76.0,,68,76.0
02D,89.77282,368.74564,94.0,94.0,84.74564,96.0,,69,96.0
02C,93.2,368.0,92.0,92.0,96.0,88.0,,70,88.0
20A,94.67233,380.64467,95.0,96.0,93.64467,96.0,,71,96.0
02C,93.7,370.0,90.0,92.0,96.0,92.0,,72,92.0
02B,92.7,369.0,92.0,88.0,93.0,96.0,,73,96.0
02D,89.97196,357.54392,94.0,98.0,93.54392,72.0,,74,72.0
02A,94.26089,377.78525,93.99417,94.0965,93.69458,96.0,,75,96.0
02B,92.1,372.0,92.0,94.0,90.0,,96.0,76,96.0
02A,92.96576,375.43733,98.39867,96.89533,92.14333,88.0,,77,88.0
02C,87.4,346.0,88.0,88.0,90.0,80.0,,78,80.0
02D,89.59754,352.19508,87.0,95.0,94.19508,76.0,,79,76.0
02C,95.1,378.0,92.0,94.0,96.0,96.0,,80,96.0
02B,95.5,384.0,95.0,95.0,94.0,100.0,,81,100.0
02D,94.52358,375.84717,92.0,96.0,95.84717,92.0,,82,92.0
20A,94.33156,378.83742,94.99667,94.39517,93.44558,96.0,,83,96.0
02C,90.6,360.0,90.0,90.0,92.0,88.0,,84,88.0
02B,89.45,365.0,92.0,95.0,86.0,92.0,,85,92.0
02C,96.4,382.0,94.0,94.0,98.0,96.0,,86,96.0
02A,93.69086,373.33392,93.99417,92.79467,94.54508,92.0,,87,92.0
02D,95.72296,383.04592,94.0,94.0,95.04592,100.0,,88,100.0
02D,93.49755,376.19511,94.0,94.0,92.19511,96.0,,89,96.0
02B,94.05,379.0,95.0,92.0,92.0,100.0,,90,100.0
02C,94.6,378.0,94.0,90.0,94.0,100.0,,91,100.0
02A,91.70522,368.68308,92.79467,89.59479,90.29362,96.0,,92,96.0
02B,89.5,362.0,92.0,94.0,88.0,88.0,,93,88.0
02D,92.04761,373.99523,95.0,94.0,88.99523,96.0,,94,96.0
02C,94.2,372.0,90.0,90.0,96.0,96.0,,95,96.0
02A,91.70035,369.63278,93.99417,93.1945,90.44411,92.0,,96,92.0
02A,90.41586,360.18586,92.79467,87.99695,91.39424,88.0,,97,88.0
02B,92.35,377.0,95.0,94.0,88.0,100.0,,98,100.0
20A,91.47276,376.34552,98.0,96.0,86.34552,96.0,,99,96.0
02B,92.15,363.0,88.0,85.0,94.0,96.0,,100,96.0
02D,89.82321,363.54643,89.0,88.0,86.54643,,100.0,101,100.0
02C,92.3,370.0,92.0,94.0,92.0,92.0,,102,92.0
02C,93.0,370.0,92.0,92.0,94.0,,92.0,103,92.0
02D,95.79866,379.79733,94.0,96.0,97.79733,,92.0,104,92.0
02C,93.2,368.0,94.0,90.0,96.0,88.0,,105,88.0
02A,91.09022,368.53147,94.79383,95.99333,89.74431,,88.0,106,88.0
02A,90.96617,369.53629,92.79467,89.49667,87.24495,100.0,,107,100.0
02C,87.6,356.0,88.0,88.0,84.0,96.0,,108,96.0
02B,89.8,356.0,92.0,88.0,92.0,84.0,,109,84.0
02B,95.55,382.0,97.0,90.0,95.0,100.0,,110,100.0
