Learner ID,Weighted Total,Total pts,C200P1 CTGL 1,C200P2 CTGL 2,C200A1 Test 2 Essay,C200B1 Test 1 US Students,C200B1 Test 1 IMS Students,student key
01C,95.38322,374.3405,92.394,90.9975,98.949,92.0,,1
01A,93.45,375.0,93.0,90.0,92.0,100.0,,2
01A,92.15,370.0,93.0,90.0,91.0,96.0,,3
01D,92.01205,366.29008,87.0,91.09425,92.19583,,96.0,4
01C,94.30665,375.58875,90.9975,90.396,94.19525,100.0,,5
01B,94.3,383.0,96.0,96.0,91.0,100.0,,6
01D,83.64869,339.99564,94.0,90.9975,82.99814,72.0,,7
01C,94.33679,376.99358,97.5,96.1,95.39358,88.0,,8
01B,90.5,364.0,92.0,94.0,90.0,88.0,,9
01C,88.30707,364.691,92.9975,93.398,82.2955,,96.0,10
01D,92.11666,373.58843,91.49625,93.29675,88.79543,100.0,,11
01C,98.1047,389.698,94.0,96.698,99.0,100.0,,12
01A,97.05,384.0,96.0,93.0,99.0,96.0,,13
01B,97.05,383.0,96.0,95.0,100.0,92.0,,14
01B,92.1,372.0,93.0,93.0,90.0,96.0,,15
01D,90.36192,368.23854,91.49625,94.09617,86.64612,96.0,,16
01B,96.9,382.0,94.0,96.0,100.0,92.0,,17
01C,91.08902,358.9935,90.097,90.4965,94.4,84.0,,18
01A,96.1,380.0,93.0,93.0,98.0,96.0,,19
01B,89.15,362.0,93.0,94.0,87.0,88.0,,20
01B,92.15,368.0,93.0,94.0,93.0,88.0,,21
01A,97.4,385.0,93.0,93.0,99.0,100.0,,22
01C,96.234,383.748,96.1,98.3,97.348,92.0,,23
01D,93.14175,375.33925,93.3985,94.39542,91.54533,96.0,,24
01A,93.95,373.0,93.0,96.0,96.0,88.0,,25
01D,94.00248,375.58792,93.39567,92.29425,93.898,96.0,,26
01A,91.1,370.0,93.0,93.0,88.0,96.0,,27
01B,94.95,377.0,92.0,93.0,96.0,96.0,,28
01D,94.04227,379.2435,95.5,95.2985,92.445,96.0,,29
01B,86.75,351.0,92.0,93.0,86.0,,80.0,30
01A,94.1,376.0,93.0,93.0,94.0,96.0,,31
01C,88.7851,349.58134,90.09317,90.49417,92.994,76.0,,32
01C,96.37192,388.88708,98.497,95.99333,94.39675,,100.0,33
01C,93.23211,368.28384,90.49417,90.391,95.39867,92.0,,34
01C,91.77183,366.23434,94.99667,93.99,93.24767,84.0,,35
01A,96.55,383.0,96.0,93.0,98.0,96.0,,36
01B,95.2,382.0,92.0,96.0,94.0,100.0,,37
01A,90.15,363.0,93.0,96.0,90.0,,84.0,38
01D,94.00038,377.68424,93.996,94.69467,92.99357,96.0,,39
01A,91.4,361.0,93.0,93.0,95.0,80.0,,40
01C,91.03647,361.687,92.5965,91.995,93.0955,84.0,,41
01B,93.65,372.0,92.0,93.0,95.0,92.0,,42
01B,88.9,356.0,93.0,93.0,90.0,80.0,,43
01C,97.0533,387.291,95.99333,97.69867,97.599,96.0,,44
01D,98.04941,386.99608,93.3985,93.59758,100.0,100.0,,45
01D,92.59722,377.19142,96.49567,95.5,89.19575,96.0,,46
01A,91.5,363.0,96.0,96.0,95.0,,76.0,47
01B,97.05,384.0,94.0,95.0,99.0,,96.0,48
01A,94.1,376.0,93.0,93.0,94.0,96.0,,49
